"Model","Accuracy","Sensitivity","Specificity","Precision","F1_Score","AUC"
"Random Forest",NA,NA,NA,NA,NA,99.4491129785247
"XGBoost",NA,NA,NA,NA,NA,93.968253968254
"SVM",NA,NA,NA,NA,NA,94.3230625583567
